,on_street_name,total_injured,total_killed,accidents
0,1 Avenue,24.0,0.0,24
1,1 Street,0.0,0.0,2
2,10 Avenue,14.0,0.0,15
3,10 Street,0.0,0.0,1
4,10-021 Mcbride Street,0.0,0.0,1
5,10-51 Jackson Avenue,2.0,0.0,1
6,10-73 Mcbride Street,0.0,0.0,1
7,100 Avenue,2.0,0.0,1
8,100 Street,2.0,0.0,2
9,100-01 Northern Boulevard,0.0,0.0,1
10,100-21 197 Street,0.0,0.0,1
11,101 Avenue,4.0,0.0,2
12,101 Street,0.0,0.0,1
13,101-12 Christie Avenue,0.0,0.0,1
14,102 Avenue,2.0,0.0,1
15,102 Street,2.0,0.0,3
16,102-10 Ditmars Boulevard,0.0,0.0,1
17,102-11 Lewis Avenue,0.0,0.0,1
18,102-22 184 Street,2.0,0.0,1
19,103 Avenue,0.0,0.0,2
20,103 Street,4.0,0.0,3
21,103-08 113 Street,0.0,0.0,1
22,103-15 Roosevelt Avenue,2.0,0.0,1
23,103-19 Merrick Boulevard,0.0,0.0,1
24,103-32 110 Street,0.0,0.0,1
25,103-32 120 Street,0.0,0.0,1
26,104 Avenue,0.0,0.0,1
27,104 Street,0.0,0.0,1
28,104-14 212 Street,0.0,0.0,1
29,104-31 93 Avenue,0.0,0.0,1
30,104-40 Queens Boulevard,0.0,0.0,1
31,104-68 42 Avenue,0.0,0.0,1
32,105 Street,0.0,0.0,2
33,105-01 Farmers Boulevard,0.0,0.0,1
34,105-04 Westside Avenue,0.0,0.0,1
35,105-15 63 Drive,2.0,0.0,1
36,105-23 150 Street,0.0,0.0,1
37,106-01 Martense Avenue,0.0,0.0,1
38,106-16 Jamaica Avenue,0.0,0.0,1
39,107 Avenue,4.0,0.0,3
40,107 Street,2.0,0.0,4
41,107-03 159 Street,0.0,0.0,1
42,107-07 103 Street,0.0,0.0,2
43,107-09 Rockaway Boulevard,0.0,0.0,1
44,107-10 Inwood Street,0.0,0.0,1
45,107-18 Jamaica Avenue,0.0,0.0,1
46,107-33 118 Street,0.0,0.0,1
47,107-34 171 Street,0.0,0.0,1
48,107-37 142 Street,0.0,0.0,1
49,107-72 109 Street,0.0,0.0,1
50,108 Avenue,0.0,0.0,1
51,108 Street,6.0,0.0,7
52,108-01 Horace Harding Expressway,0.0,0.0,1
53,108-04 Brewer Boulevard,0.0,0.0,1
54,108-25 Fern Place,0.0,0.0,1
