,accidents,geometry,latitude,longitude,total_injured,total_killed
3,1.0,POINT (-74.24495999999998 40.503414),40.503414,-74.24495999999998,0.0,0.0
5,1.0,POINT (-74.24727 40.504482),40.504482,-74.24727,2.0,0.0
10,1.0,POINT (-74.235855 40.507458),40.507458,-74.235855,0.0,0.0
12,1.0,POINT (-74.22924 40.50788),40.50788,-74.22924,0.0,0.0
17,1.0,POINT (-74.24704 40.50918),40.50918,-74.24704,0.0,0.0
19,1.0,POINT (-74.21807 40.509666),40.509666,-74.21807,2.0,0.0
21,1.0,POINT (-74.25076 40.51008),40.51008,-74.25076,0.0,0.0
22,1.0,POINT (-74.2492 40.510117),40.510117,-74.2492,0.0,0.0
25,1.0,POINT (-74.248886 40.511127),40.511127,-74.248886,0.0,0.0
26,1.0,POINT (-74.24129000000001 40.511147),40.511147,-74.24129,0.0,0.0
28,1.0,POINT (-74.24941 40.51167),40.51167,-74.24941,0.0,0.0
32,3.0,POINT (-74.24975999999999 40.512028),40.512028,-74.24976,0.0,0.0
33,1.0,POINT (-74.25082399999999 40.51206),40.51206,-74.250824,0.0,0.0
35,1.0,POINT (-74.23698399999998 40.51247),40.51247,-74.23698399999998,0.0,0.0
38,1.0,POINT (-74.24439 40.51332),40.51332,-74.24439,0.0,0.0
39,1.0,POINT (-74.248085 40.513325),40.513325,-74.248085,0.0,0.0
40,1.0,POINT (-74.24889 40.51347),40.51347,-74.24889,0.0,0.0
41,1.0,POINT (-74.24776 40.51348),40.51348,-74.24776,0.0,0.0
43,1.0,POINT (-74.243256 40.51410300000001),40.51410300000001,-74.243256,0.0,0.0
49,1.0,POINT (-74.21151999999999 40.51453400000001),40.51453400000001,-74.21152,2.0,0.0
53,1.0,POINT (-74.24539 40.514957),40.514957,-74.24539,0.0,0.0
59,1.0,POINT (-74.196884 40.516457),40.516457,-74.196884,0.0,0.0
60,1.0,POINT (-74.23765999999998 40.516594),40.516594,-74.23765999999998,0.0,0.0
62,1.0,POINT (-74.23348 40.516804),40.516804,-74.23348,2.0,0.0
64,1.0,POINT (-74.23369 40.516956),40.516956,-74.23369,0.0,0.0
