u,v,key,osmid,oneway,highway,length,geometry,lanes,ref,name,maxspeed,bridge,dangerosity,tunnel,access
42497172,42478920,0,542167662,True,residential,216.911,"LINESTRING (-73.88489300000001 40.680811, -73.8853684 40.682669, -73.885383 40.682726)",,,Elton Street,,,0.9110000000000014,,
42478920,42470278,0,275355364,True,residential,79.099,"LINESTRING (-73.885383 40.682726, -73.8845389 40.6828497, -73.884462 40.682861)",,,Ridgewood Avenue,,,0.09900000000000375,,
42470278,42478926,0,275355365,True,residential,82.184,"LINESTRING (-73.884462 40.682861, -73.883505 40.683001)",,,Ridgewood Avenue,,,0.1839999999999975,,
42478926,42478932,0,275355368,True,residential,79.056,"LINESTRING (-73.883505 40.683001, -73.88258399999999 40.683134)",,,Ridgewood Avenue,,,0.055999999999997385,,
42478932,42478936,0,275355363,True,residential,80.61,"LINESTRING (-73.88258399999999 40.683134, -73.88164500000001 40.68327)",,,Ridgewood Avenue,,,0.6099999999999994,,
42478936,42478938,0,46154732,True,secondary,79.101,"LINESTRING (-73.88164500000001 40.68327, -73.880725 40.683409)",,,Ridgewood Avenue,,,0.10099999999999909,,
42478938,42514580,0,5681894,True,residential,123.104,"LINESTRING (-73.880725 40.683409, -73.880995 40.684497)",,,Hale Avenue,,,0.1039999999999992,,
42514580,42495019,0,5681894,True,residential,64.003,"LINESTRING (-73.880995 40.684497, -73.88113300000001 40.685063)",,,Hale Avenue,,,0.0030000000000001137,,
42495019,42475198,0,5681894,True,residential,81.034,"LINESTRING (-73.88113300000001 40.685063, -73.8812854 40.6856726, -73.88131199999999 40.685779)",,,Hale Avenue,,,0.034000000000006025,,
42475198,42475193,0,5702107,False,secondary,88.31599999999999,"LINESTRING (-73.88131199999999 40.685779, -73.8821027 40.6854067, -73.8822018 40.68536)",,,Jamaica Avenue,,,0.3159999999999883,,
42475193,42927436,0,"[420817304, 420817307, 226829061]",False,secondary,625.635,"LINESTRING (-73.8822018 40.68536, -73.8825535 40.685772, -73.88286840000001 40.686142, -73.88305560000001 40.6863659, -73.8832505 40.6865371, -73.8835109 40.6866688, -73.88384670000001 40.6867536, -73.88421719999999 40.6867609, -73.8844603 40.6867141, -73.88552350000001 40.6863176, -73.88691660000001 40.6857718, -73.8877032 40.6854523, -73.8878751 40.6853825, -73.88810530000001 40.685289, -73.8882404 40.6852324)",,,Highland Boulevard,,,0.6349999999999909,,
42927436,42927433,0,749291336,False,tertiary,65.7,"LINESTRING (-73.8882404 40.6852324, -73.8884884 40.6852821, -73.88869990000001 40.6853669, -73.888886 40.685529)",,,Vermont Place,,,0.7000000000000028,,
42927433,42792757,0,749291336,False,tertiary,289.124,"LINESTRING (-73.888886 40.685529, -73.8891167 40.6859172, -73.88936529999999 40.6864199, -73.88956140000001 40.6869392, -73.8896836 40.6873447, -73.889737 40.6876381, -73.889792 40.688021)",,,Vermont Place,,,0.12400000000002365,,
42792757,1398903685,0,"[749291336, 5709198]",False,tertiary,55.903000000000006,"LINESTRING (-73.889792 40.688021, -73.88988449999999 40.6882729, -73.88996849999999 40.6885056)",,,Vermont Place,,,0.9030000000000058,,
1398903685,42792783,0,5709198,False,tertiary,7.402,"LINESTRING (-73.88996849999999 40.6885056, -73.889994 40.6885693)",,,Vermont Place,,,0.40200000000000014,,
42792783,1398903695,0,5700158,True,motorway_link,30.432,"LINESTRING (-73.889994 40.6885693, -73.8903542 40.6885519)",,,,,,0.4319999999999986,,
1398903695,42792751,0,5700158,True,motorway_link,114.39200000000001,"LINESTRING (-73.8903542 40.6885519, -73.8905183 40.6885462, -73.8906578 40.6885909, -73.89077039999999 40.6886682, -73.8908402 40.6887862, -73.89082139999999 40.6888978, -73.89062610000001 40.689304)",,,,,,0.3920000000000101,,
42792751,277616230,0,"[827167313, 25476909, 126109613, 126109623]",True,motorway,433.168,"LINESTRING (-73.89062610000001 40.689304, -73.89050020000001 40.6894446, -73.89016169999999 40.6898226, -73.890091 40.6899015, -73.88981130000001 40.6902112, -73.8894951 40.6904139, -73.8890136 40.6906377, -73.887991 40.6908486, -73.88638950000001 40.6911544)",2,,Jackie Robinson Parkway,,yes,0.16800000000000637,,
277616230,1398902755,0,25476909,True,motorway,153.313,"LINESTRING (-73.88638950000001 40.6911544, -73.8852445 40.6914213, -73.88465600000001 40.6915705)",2,,Jackie Robinson Parkway,,,0.3129999999999882,,
1398902755,277617103,0,"[570981705, 570981706, 25476909]",True,motorway,1423.5839999999998,"LINESTRING (-73.88465600000001 40.6915705, -73.8826861 40.6920934, -73.8823465 40.6921833, -73.8820564 40.6922457, -73.8816863 40.6922963, -73.8812437 40.6923409, -73.8792297 40.6925393, -73.87856410000001 40.6926109, -73.8783372 40.6926413, -73.878151 40.692684, -73.8780567 40.692727, -73.8779543 40.6927854, -73.877861 40.692861, -73.8777839 40.6929397, -73.8777151 40.6930297, -73.8776708 40.6931229, -73.8776345 40.6932645, -73.8776227 40.6934062, -73.87757860000001 40.6936163, -73.8775442 40.6937047, -73.8774854 40.6937901, -73.8774097 40.6938756, -73.8773393 40.6939383, -73.8772649 40.6939826, -73.8769094 40.6941198, -73.87647490000001 40.6943051, -73.8763896 40.694353, -73.8763052 40.6944117, -73.87625490000001 40.694449, -73.8761622 40.6945375, -73.87609670000001 40.69461, -73.8760348 40.6946892, -73.8759481 40.6948409, -73.8758555 40.6950457, -73.8758064 40.695134, -73.875755 40.6952047, -73.8756932 40.6952771, -73.8755319 40.6954097, -73.8754275 40.6954868, -73.8753052 40.6955829, -73.8748343 40.6960417, -73.8741375 40.6967151, -73.87394399999999 40.6968634, -73.8737402 40.696984, -73.87351719999999 40.6970867, -73.87325749999999 40.6971739, -73.8727884 40.6972641, -73.8713631 40.6974992, -73.8711023 40.6975427)",2,,Jackie Robinson Parkway,,yes,0.5839999999998327,,
277617103,277617107,0,570981706,True,motorway,146.42000000000002,"LINESTRING (-73.8711023 40.6975427, -73.8706205 40.6976503, -73.87020579999999 40.6977965, -73.8698742 40.6979578, -73.8695669 40.6981314)",2,,Jackie Robinson Parkway,,,0.4200000000000159,,
277617107,461204976,0,"[570981706, 126097328, 126097330, 126080372, 126080374]",True,motorway,969.0590000000001,"LINESTRING (-73.8695669 40.6981314, -73.8692736 40.6983794, -73.8690072 40.6986902, -73.8688818 40.6988873, -73.8687666 40.6991168, -73.86867909999999 40.6994321, -73.86863959999999 40.6995764, -73.86855370000001 40.6999102, -73.8683892 40.7005287, -73.86827940000001 40.7008184, -73.86813789999999 40.7010801, -73.86790430000001 40.701402, -73.8677521 40.701563, -73.86742649999999 40.701834, -73.86701770000001 40.7020996, -73.8666408 40.702266, -73.8661984 40.7024337, -73.8657719 40.7025585, -73.8652994 40.702655, -73.86476330000001 40.7027329, -73.8640315 40.7027786, -73.86338550000001 40.7027807, -73.86273660000001 40.7027296, -73.8620708 40.7026466, -73.8616936 40.7025865)",2,,Jackie Robinson Parkway,,yes,0.059000000000082764,,
461204976,461209177,0,126080374,True,motorway,109.32199999999999,"LINESTRING (-73.8616936 40.7025865, -73.86131 40.7025264, -73.8606837 40.7024282, -73.86042019999999 40.702403)",2,,Jackie Robinson Parkway,,,0.3219999999999885,,
