u,v,key,osmid,oneway,highway,length,geometry,lanes,ref,name,maxspeed,bridge,dangerosity,tunnel,access
39076461,42854803,0,25161578,True,motorway_link,254.70900000000006,"LINESTRING (-73.7946273 40.7864093, -73.7936126 40.7866863, -73.79284149999999 40.7869596, -73.7921589 40.7872561, -73.7921146 40.7872693, -73.79206499999999 40.7872764, -73.7920261 40.7872622, -73.7919926 40.7872338, -73.7919309 40.7871587)",,,,,,0.70900000000006,,
42854803,42847609,0,25161438,False,tertiary,143.257,"LINESTRING (-73.7919309 40.7871587, -73.79148530000001 40.7873637, -73.7904664 40.7878146)",,,Cross Island Parkway,,,0.257000000000005,,
42847609,274286551,0,5703564,True,motorway_link,342.699,"LINESTRING (-73.7904664 40.7878146, -73.78922849999999 40.787001, -73.7884215 40.7864505, -73.7880631 40.7861925, -73.7876643 40.7858579, -73.787481 40.7857234)",1,,,,,0.6990000000000123,,
274286551,42856369,0,90086357,True,motorway,586.959,"LINESTRING (-73.787481 40.7857234, -73.7872272 40.7854627, -73.7870655 40.7852869, -73.7868302 40.7850079, -73.7866035 40.7847201, -73.7864039 40.7844414, -73.78615120000001 40.7840521, -73.7859267 40.7836457, -73.7856853 40.7831332, -73.7855551 40.782807, -73.7853947 40.7823252, -73.78528180000001 40.7818566, -73.7850772 40.7808434)",3,I 295,Clearview Expressway,,,0.9589999999999463,,
42856369,42861416,0,5710589,True,motorway_link,537.8900000000001,"LINESTRING (-73.7850772 40.7808434, -73.78496560000001 40.7799855, -73.78491409999999 40.7794915, -73.78484539999999 40.7781592, -73.78484539999999 40.7777367, -73.7849227 40.7764888, -73.7849398 40.7760143)",1,,,,,0.8900000000001,,
42861416,42861421,0,"[125982771, 125982770, 25163275]",False,tertiary,77.575,"LINESTRING (-73.7849398 40.7760143, -73.7847476 40.7760711, -73.7843141 40.7761991, -73.7840815 40.7762678)",,,26th Avenue,,yes,0.5750000000000028,,
42861421,469845066,0,25163282,True,motorway_link,513.539,"LINESTRING (-73.7840815 40.7762678, -73.7843905 40.7784386, -73.78447629999999 40.7790496, -73.7845708 40.779589, -73.7846823 40.7801025, -73.7848836 40.780843)",1,,,,,0.5389999999999873,,
469845066,274285474,0,54929133,True,motorway,435.12,"LINESTRING (-73.7848836 40.780843, -73.7849957 40.7816154, -73.7851313 40.7822758, -73.7852833 40.7828273, -73.78545029999999 40.7832629, -73.7856396 40.7836721, -73.7858159 40.7839922, -73.7859976 40.7842958, -73.7862008 40.7845957)",3,I 295,Clearview Expressway,,,0.12000000000000455,,
274285474,492879812,0,"[40595062, 90086367]",True,motorway,1158.2400000000002,"LINESTRING (-73.7862008 40.7845957, -73.7863772 40.7847726, -73.78660189999999 40.7850574, -73.7867576 40.7852442, -73.78692409999999 40.7854253, -73.7870934 40.7855987, -73.7872709 40.7857721, -73.78745139999999 40.7859374, -73.787548 40.7860247, -73.7877392 40.7861867, -73.7880358 40.7864256, -73.788246 40.7865788, -73.78855799999999 40.7867996, -73.7892023 40.7872579, -73.7899534 40.7877891, -73.7904668 40.7881601, -73.79075640000001 40.7883982, -73.7910378 40.7886476, -73.7913124 40.7889071, -73.7914806 40.7890782, -73.7917348 40.7893587, -73.7918842 40.7895393, -73.7921065 40.7898177, -73.79237639999999 40.7902053, -73.79262369999999 40.790604, -73.79267230000001 40.7907061, -73.7928926 40.791119, -73.7930257 40.7914185, -73.7931478 40.7917455, -73.79321760000001 40.7919464, -73.7932517 40.7920556, -73.7933099 40.7922655, -73.7933653 40.7924831, -73.7933882 40.792597, -73.79343059999999 40.7928189, -73.79343470000001 40.7931427)",2,"['I-295 North', 'I 295']","['Throgs Neck Expressway', 'Throgs Neck Bridge - Bronx Bound']",,yes,0.24000000000023647,,
492879812,471826006,0,"[375623293, 122738341, 39371000, 375623292, 158613789]",True,motorway,3267.8269999999998,"LINESTRING (-73.79343470000001 40.7931427, -73.7934589 40.7933613, -73.79347249999999 40.7935765, -73.7934786 40.7940087, -73.7934961 40.7961836, -73.79351320000001 40.7979087, -73.7935265 40.7998694, -73.793537 40.8046348, -73.79353879999999 40.8054655, -73.7935399 40.8059497, -73.7935476 40.8094583, -73.79357330000001 40.809952, -73.7936334 40.8104393, -73.7937278 40.8109395, -73.7938566 40.8114202, -73.7940368 40.8119399, -73.7942686 40.8124466, -73.79453460000001 40.8129273, -73.7947921 40.8133366, -73.7951011 40.8137588, -73.7954359 40.8141616, -73.7957964 40.8145513, -73.7961998 40.8149281, -73.7966117 40.8152724, -73.7970581 40.8156101, -73.7975215 40.8159219, -73.79792500000001 40.8161623, -73.798294 40.8163636, -73.79876609999999 40.816604, -73.7992038 40.8167989, -73.7996244 40.8169677, -73.8000651 40.8171424, -73.80044770000001 40.81727, -73.8009845 40.8174161, -73.8015221 40.8175418, -73.803557 40.8179414, -73.8039528 40.8180017, -73.8044218 40.8180515)","['3', '4']","['I 295 Northbound', 'I 295']","['Throgs Neck Expressway', 'Throgs Neck Bridge (Bronx Bound)']",45 mph,yes,0.8269999999997708,,
